id,XA,XB,XC,XD,XE,XF,XG,XH,XI,XJ,XK,XL,XM,XN,XO,XP,XQ,XR,XS,XT,XU,XV,class
2181,3,1,8,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2182,3,3,1,1,7,3,1,1,9,2,1,4,4,4,6,1,3,2,6,2,5,7,class_2
2183,4,1,1,1,7,3,1,1,8,2,1,4,4,4,8,1,3,2,6,2,6,7,class_2
2184,3,3,8,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2185,4,1,1,1,7,3,1,1,8,2,1,4,4,4,4,1,3,2,6,1,5,7,class_2
2186,4,3,1,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2187,4,1,4,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2188,3,1,8,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2189,3,1,4,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2190,3,1,4,1,7,3,1,1,9,2,1,4,4,4,8,1,3,2,6,2,5,7,class_2
2191,3,1,1,1,7,3,1,1,9,2,1,4,4,6,8,1,3,2,6,1,5,7,class_2
2192,3,1,4,1,7,3,1,1,11,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2193,3,4,4,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,4,1,class_2
2194,3,3,8,1,7,3,1,1,9,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2195,4,1,4,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2196,3,3,8,1,7,3,1,1,2,2,1,4,4,4,8,1,3,2,6,2,5,7,class_2
2197,4,1,4,1,7,3,1,1,2,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2198,3,1,4,1,7,3,1,1,9,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2199,3,1,4,1,7,3,1,1,2,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2200,4,1,4,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,2,6,7,class_2
2201,3,4,9,2,7,3,2,1,8,2,4,4,1,8,8,1,3,2,2,2,1,1,class_2
2202,3,1,1,1,7,3,1,1,11,2,1,4,4,4,8,1,3,2,6,2,6,7,class_2
2203,4,1,1,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,1,5,7,class_2
2204,4,1,4,1,7,3,1,1,8,2,1,4,4,4,4,1,3,2,6,1,6,7,class_2
2205,3,3,4,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2206,3,1,8,1,7,3,1,1,9,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
2207,3,3,8,1,7,3,1,1,9,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2208,3,1,1,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,1,6,7,class_2
2209,4,3,4,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2210,3,3,4,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2211,3,4,6,2,3,3,2,2,5,1,1,4,4,8,8,1,3,2,6,2,4,7,class_1
2212,3,3,1,1,7,3,1,1,8,2,1,4,4,4,6,1,3,2,6,2,6,7,class_2
2213,4,1,4,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,1,5,7,class_2
2214,3,3,8,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2215,4,1,1,1,7,3,1,1,8,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2216,3,3,1,1,7,3,1,1,11,2,1,4,4,8,4,1,3,2,6,2,5,7,class_2
2217,3,1,4,1,7,3,1,1,11,2,1,4,4,4,8,1,3,2,6,2,6,7,class_2
2218,4,1,1,1,7,3,1,1,8,2,1,4,4,4,8,1,3,2,6,2,5,7,class_2
2219,3,3,1,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,1,5,7,class_2
2220,3,3,1,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,1,5,7,class_2
2221,3,1,8,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2222,4,1,4,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,1,5,7,class_2
2223,3,3,8,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
2224,3,3,8,1,7,3,1,1,9,2,1,4,4,4,4,1,3,2,6,2,5,7,class_2
2225,4,1,1,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2226,3,1,8,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,1,5,7,class_2
2227,3,1,8,1,7,3,1,1,2,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2228,3,1,9,2,7,3,2,1,1,2,4,1,1,8,8,1,3,2,2,2,4,1,class_2
2229,3,3,4,1,7,3,1,1,8,2,1,4,4,4,4,1,3,2,6,1,6,7,class_2
2230,3,1,8,1,7,3,1,1,8,2,1,4,4,4,8,1,3,2,6,1,5,7,class_2
2231,3,3,4,1,7,3,1,1,8,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2232,3,1,8,1,7,3,1,1,11,2,1,4,4,8,6,1,3,2,6,1,5,7,class_2
2233,3,1,4,1,7,3,1,1,8,2,1,4,4,8,8,1,3,2,6,2,6,7,class_2
2234,4,3,8,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,2,5,7,class_2
2235,4,3,4,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2236,3,3,8,1,7,3,1,1,8,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2237,3,3,4,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2238,4,1,4,2,7,3,2,1,4,2,4,4,1,8,8,1,3,2,2,1,4,1,class_2
2239,3,1,4,2,5,3,1,1,5,1,1,3,3,2,6,1,3,2,4,4,6,4,class_1
2240,3,1,8,1,7,3,1,1,8,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2241,3,3,8,1,7,3,1,1,11,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2242,4,4,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,1,5,1,class_1
2243,4,3,1,1,7,3,1,1,9,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2244,3,1,8,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,2,6,7,class_2
2245,3,3,8,1,7,3,1,1,2,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2246,3,1,4,1,7,3,1,1,2,2,1,4,4,4,8,1,3,2,6,1,5,7,class_2
2247,3,3,4,1,7,3,1,1,8,2,1,4,4,4,6,1,3,2,6,2,5,7,class_2
2248,3,1,4,2,7,3,2,1,2,2,4,1,1,8,8,1,3,2,2,2,1,1,class_2
2249,3,1,1,1,7,3,1,1,9,2,1,4,4,4,8,1,3,2,6,2,6,7,class_2
2250,4,1,8,1,7,3,1,1,2,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2251,3,3,4,1,7,3,1,1,9,2,1,4,4,4,4,1,3,2,6,2,6,7,class_2
2252,4,1,1,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,1,6,7,class_2
2253,4,1,4,2,7,3,2,1,4,2,4,1,1,8,8,1,3,2,2,2,4,1,class_2
2254,4,1,4,1,7,3,1,1,8,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2255,3,3,1,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,1,5,7,class_2
2256,4,1,4,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,1,6,7,class_2
2257,4,3,1,1,7,3,1,1,9,2,1,4,4,8,8,1,3,2,6,2,6,7,class_2
2258,3,1,4,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,2,5,7,class_2
2259,3,3,8,1,7,3,1,1,9,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2260,3,3,1,1,7,3,1,1,2,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2261,4,4,4,2,7,3,2,1,2,2,4,1,4,8,8,1,3,2,2,2,1,1,class_2
2262,3,1,1,1,7,3,1,1,11,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2263,4,1,1,1,7,3,1,1,2,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2264,3,3,8,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2265,3,3,8,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2266,3,3,1,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2267,4,4,9,2,7,3,2,1,4,2,4,4,1,8,8,1,3,2,2,1,1,1,class_2
2268,3,3,1,1,7,3,1,1,8,2,1,4,4,4,4,1,3,2,6,2,5,7,class_2
2269,3,3,8,1,7,3,1,1,8,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2270,3,1,4,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,2,5,7,class_2
2271,4,1,4,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2272,4,1,1,2,7,3,2,1,2,2,4,4,1,8,8,1,3,2,2,1,4,1,class_2
2273,4,1,4,1,7,3,1,1,2,2,1,4,4,8,6,1,3,2,6,1,5,7,class_2
2274,3,3,8,1,7,3,1,1,9,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2275,4,1,4,1,7,3,1,1,2,2,1,4,4,8,4,1,3,2,6,1,5,7,class_2
2276,3,3,1,1,7,3,1,1,9,2,1,4,4,8,6,1,3,2,6,2,6,7,class_2
2277,3,1,8,1,7,3,1,1,9,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2278,3,1,1,1,7,3,1,1,11,2,1,4,4,8,6,1,3,2,6,2,6,7,class_2
2279,3,1,4,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
2280,4,1,4,1,7,3,1,1,11,2,1,4,4,4,8,1,3,2,6,2,5,7,class_2
2281,3,1,1,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2282,3,3,1,1,7,3,1,1,9,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2283,3,1,8,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,2,5,7,class_2
2284,4,1,4,1,7,3,1,1,2,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2285,3,3,1,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2286,3,4,6,2,3,3,2,2,2,1,1,4,4,8,8,1,3,2,6,1,5,7,class_1
2287,4,3,4,1,7,3,1,1,11,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2288,4,1,1,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2289,4,4,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,4,5,class_1
2290,3,3,1,1,7,3,1,1,9,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2291,3,3,4,1,7,3,1,1,9,2,1,4,4,4,4,1,3,2,6,1,6,7,class_2
2292,3,3,8,1,7,3,1,1,2,2,1,4,4,4,4,1,3,2,6,1,5,7,class_2
2293,3,3,8,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2294,3,3,8,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,1,5,7,class_2
2295,3,1,4,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2296,4,4,9,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,1,4,1,class_2
2297,3,3,4,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,2,5,7,class_2
2298,3,1,1,2,7,3,2,1,8,2,4,4,1,8,8,1,3,2,2,2,4,1,class_2
2299,3,1,1,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,2,6,7,class_2
2300,3,3,4,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,1,5,7,class_2
2301,3,3,8,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,2,5,7,class_2
2302,3,3,1,1,7,3,1,1,9,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2303,3,1,4,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2304,3,1,4,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2305,3,3,4,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2306,3,3,4,1,7,3,1,1,2,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2307,4,3,4,1,7,3,1,1,8,2,1,4,4,4,4,1,3,2,6,2,5,7,class_2
2308,3,1,8,1,7,3,1,1,8,2,1,4,4,8,8,1,3,2,6,1,5,7,class_2
2309,3,3,8,1,7,3,1,1,2,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2310,3,1,1,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2311,3,1,1,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2312,4,1,1,1,7,3,1,1,2,2,1,4,4,4,4,1,3,2,6,1,5,7,class_2
2313,4,1,1,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2314,3,3,4,1,7,3,1,1,9,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2315,3,1,8,1,7,3,1,1,11,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2316,4,3,1,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2317,3,3,8,1,7,3,1,1,8,2,1,4,4,8,8,1,3,2,6,1,5,7,class_2
2318,4,3,1,1,7,3,1,1,11,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2319,3,3,4,1,7,3,1,1,8,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2320,4,1,1,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2321,3,3,4,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,1,6,7,class_2
2322,3,3,8,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,1,5,7,class_2
2323,3,3,1,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2324,3,1,4,1,7,3,1,1,11,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2325,3,1,8,1,7,3,1,1,9,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2326,3,1,1,1,7,3,1,1,9,2,1,4,4,6,6,1,3,2,6,1,5,7,class_2
2327,4,1,1,1,7,3,1,1,11,2,1,4,4,4,8,1,3,2,6,2,6,7,class_2
2328,4,3,4,1,7,3,1,1,9,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2329,3,1,1,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,1,5,7,class_2
2330,3,3,8,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2331,4,1,1,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2332,3,3,1,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2333,4,1,1,1,7,3,1,1,2,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2334,3,3,8,1,7,3,1,1,9,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2335,3,3,8,1,7,3,1,1,9,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2336,3,1,4,1,7,3,1,1,11,2,1,4,4,4,4,1,3,2,6,2,5,7,class_2
2337,3,1,4,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,2,5,7,class_2
2338,4,1,8,1,7,3,1,1,9,2,1,4,4,8,6,1,3,2,6,2,5,7,class_2
2339,3,1,1,1,7,3,1,1,11,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2340,3,3,8,1,7,3,1,1,2,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2341,3,3,4,1,7,3,1,1,9,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2342,3,3,4,1,7,3,1,1,9,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2343,3,1,8,1,7,3,1,1,9,2,1,4,4,6,8,1,3,2,6,2,5,7,class_2
2344,4,1,1,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
2345,3,3,1,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2346,3,3,4,1,7,3,1,1,9,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2347,3,1,9,2,7,3,2,1,4,2,4,4,1,8,8,1,3,2,2,2,4,1,class_2
2348,4,3,4,1,7,3,1,1,11,2,1,4,4,4,4,1,3,2,6,2,6,7,class_2
2349,4,4,4,2,7,3,2,1,2,2,4,1,1,8,8,1,3,2,2,2,4,1,class_2
2350,4,1,1,1,7,3,1,1,9,2,1,4,4,4,8,1,3,2,6,2,6,7,class_2
2351,3,3,8,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2352,4,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,4,5,class_1
2353,3,3,4,1,7,3,1,1,2,2,1,4,4,8,4,1,3,2,6,1,5,7,class_2
2354,4,1,1,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2355,3,1,4,1,7,3,1,1,11,2,1,4,4,4,4,1,3,2,6,2,6,7,class_2
2356,3,1,8,1,7,3,1,1,2,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2357,4,1,4,1,7,3,1,1,2,2,1,4,4,4,8,1,3,2,6,1,5,7,class_2
2358,3,3,1,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2359,3,3,8,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2360,3,3,1,1,7,3,1,1,2,2,1,4,4,6,4,1,3,2,6,2,5,7,class_2
2361,3,3,1,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,2,6,7,class_2
2362,4,1,1,1,7,3,1,1,8,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2363,3,3,4,1,7,3,1,1,9,2,1,4,4,4,6,1,3,2,6,1,6,7,class_2
2364,3,3,1,1,7,3,1,1,2,2,1,4,4,8,6,1,3,2,6,1,6,7,class_2
2365,3,1,8,1,7,3,1,1,11,2,1,4,4,8,4,1,3,2,6,1,5,7,class_2
2366,4,1,1,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2367,3,1,8,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,1,5,7,class_2
2368,4,4,9,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1,class_2
2369,3,3,1,1,7,3,1,1,2,2,1,4,4,4,8,1,3,2,6,1,5,7,class_2
2370,3,1,4,1,7,3,1,1,11,2,1,4,4,4,4,1,3,2,6,1,6,7,class_2
2371,3,1,1,1,7,3,1,1,11,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2372,3,1,8,1,7,3,1,1,8,2,1,4,4,4,4,1,3,2,6,2,6,7,class_2
2373,4,1,1,1,7,3,1,1,2,2,1,4,4,4,6,1,3,2,6,1,6,7,class_2
2374,3,1,1,1,7,3,1,1,9,2,1,4,4,8,6,1,3,2,6,2,5,7,class_2
2375,3,3,1,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2376,4,4,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
2377,3,1,4,1,7,3,1,1,11,2,1,4,4,4,4,1,3,2,6,1,5,7,class_2
2378,4,4,9,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,1,4,1,class_2
2379,3,4,4,2,7,3,2,1,8,2,4,4,1,8,8,1,3,2,2,2,4,1,class_2
2380,3,1,4,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2381,4,1,1,1,7,3,1,1,2,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2382,3,1,8,1,7,3,1,1,2,2,1,4,4,4,4,1,3,2,6,1,5,7,class_2
2383,3,3,4,1,7,3,1,1,2,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2384,4,1,1,1,7,3,1,1,9,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2385,3,1,1,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2386,3,1,4,2,5,3,1,1,4,1,1,3,3,1,1,1,3,2,4,4,6,7,class_1
2387,3,3,8,1,7,3,1,1,11,2,1,4,4,4,4,1,3,2,6,1,6,7,class_2
2388,3,1,1,2,7,3,2,1,4,2,4,4,4,8,8,1,3,2,2,1,1,1,class_2
2389,3,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,1,class_1
2390,3,3,4,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2391,4,1,1,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
2392,3,1,1,1,7,3,1,1,8,2,1,4,4,4,6,1,3,2,6,1,6,7,class_2
2393,3,3,4,1,7,3,1,1,9,2,1,4,4,6,8,1,3,2,6,1,5,7,class_2
2394,3,3,4,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,1,5,7,class_2
2395,4,1,1,1,7,3,1,1,9,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2396,4,1,1,1,7,3,1,1,9,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2397,3,1,4,1,7,3,1,1,9,2,1,4,4,8,4,1,3,2,6,1,5,7,class_2
2398,4,1,4,1,7,3,1,1,2,2,1,4,4,4,6,1,3,2,6,2,6,7,class_2
2399,3,3,8,1,7,3,1,1,9,2,1,4,4,4,4,1,3,2,6,2,6,7,class_2
2400,3,1,8,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2401,3,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,5,1,class_1
2402,4,1,4,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,1,5,7,class_2
2403,3,1,4,1,7,3,1,1,8,2,1,4,4,4,6,1,3,2,6,1,5,7,class_2
2404,4,3,8,1,7,3,1,1,11,2,1,4,4,8,6,1,3,2,6,1,5,7,class_2
2405,4,3,4,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,1,5,7,class_2
2406,3,3,1,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
2407,3,3,8,1,7,3,1,1,11,2,1,4,4,4,8,1,3,2,6,2,6,7,class_2
2408,3,1,8,1,7,3,1,1,11,2,1,4,4,8,8,1,3,2,6,2,6,7,class_2
2409,3,3,8,1,7,3,1,1,11,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2410,4,1,4,1,7,3,1,1,2,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2411,3,1,4,1,7,3,1,1,8,2,1,4,4,8,8,1,3,2,6,1,5,7,class_2
2412,4,1,1,1,7,3,1,1,8,2,1,4,4,8,6,1,3,2,6,2,5,7,class_2
2413,3,3,1,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2414,3,3,4,1,7,3,1,1,2,2,1,4,4,6,6,1,3,2,6,1,5,7,class_2
2415,3,1,4,1,7,3,1,1,9,2,1,4,4,6,6,1,3,2,6,2,5,7,class_2
2416,3,3,1,1,7,3,1,1,8,2,1,4,4,6,6,1,3,2,6,1,6,7,class_2
2417,4,1,1,1,7,3,1,1,11,2,1,4,4,4,6,1,3,2,6,2,5,7,class_2
2418,3,3,1,1,7,3,1,1,9,2,1,4,4,4,8,1,3,2,6,1,6,7,class_2
2419,3,3,1,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2420,4,1,1,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2421,3,1,1,1,7,3,1,1,9,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2422,3,1,1,1,7,3,1,1,8,2,1,4,4,4,8,1,3,2,6,2,5,7,class_2
2423,3,3,1,1,7,3,1,1,8,2,1,4,4,4,6,1,3,2,6,1,6,7,class_2
2424,4,1,4,1,7,3,1,1,2,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2425,3,1,8,1,7,3,1,1,9,2,1,4,4,8,8,1,3,2,6,2,6,7,class_2
2426,4,1,1,1,7,3,1,1,8,2,1,4,4,4,4,1,3,2,6,2,5,7,class_2
2427,3,4,6,2,3,3,1,2,5,1,1,4,4,8,8,1,3,2,6,1,5,7,class_1
2428,3,1,8,1,7,3,1,1,9,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2429,4,1,1,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2430,3,1,1,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,1,6,7,class_2
2431,4,1,8,1,7,3,1,1,9,2,1,4,4,6,4,1,3,2,6,2,5,7,class_2
2432,3,3,8,1,7,3,1,1,2,2,1,4,4,8,4,1,3,2,6,1,6,7,class_2
2433,3,1,4,1,7,3,1,1,11,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2434,3,1,4,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,2,6,7,class_2
2435,3,1,4,1,7,3,1,1,8,2,1,4,4,4,8,1,3,2,6,1,5,7,class_2
2436,3,1,4,1,7,3,1,1,9,2,1,4,4,6,4,1,3,2,6,2,6,7,class_2
2437,4,1,4,1,7,3,1,1,8,2,1,4,4,8,4,1,3,2,6,2,6,7,class_2
2438,3,1,8,1,7,3,1,1,9,2,1,4,4,8,4,1,3,2,6,2,5,7,class_2
2439,4,3,1,1,7,3,1,1,8,2,1,4,4,6,4,1,3,2,6,1,6,7,class_2
2440,4,3,8,1,7,3,1,1,9,2,1,4,4,4,8,1,3,2,6,1,5,7,class_2
2441,3,3,4,1,7,3,1,1,9,2,1,4,4,8,8,1,3,2,6,2,6,7,class_2
2442,3,3,4,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,1,6,7,class_2
2443,3,1,4,1,7,3,1,1,2,2,1,4,4,6,8,1,3,2,6,1,6,7,class_2
2444,3,1,4,2,5,3,1,1,4,1,1,3,3,2,2,1,3,2,4,4,6,1,class_1
2445,3,3,1,1,7,3,1,1,9,2,1,4,4,8,6,1,3,2,6,1,5,7,class_2
2446,3,3,8,1,7,3,1,1,8,2,1,4,4,4,6,1,3,2,6,2,6,7,class_2
2447,3,1,1,1,7,3,1,1,11,2,1,4,4,6,4,1,3,2,6,1,5,7,class_2
2448,4,1,1,1,7,3,1,1,8,2,1,4,4,8,8,1,3,2,6,2,6,7,class_2
2449,4,1,1,1,7,3,1,1,8,2,1,4,4,6,8,1,3,2,6,1,5,7,class_2
2450,4,1,4,1,7,3,1,1,2,2,1,4,4,8,8,1,3,2,6,1,6,7,class_2
2451,4,1,4,1,7,3,1,1,8,2,1,4,4,6,8,1,3,2,6,2,6,7,class_2
2452,3,3,4,1,7,3,1,1,11,2,1,4,4,6,6,1,3,2,6,2,6,7,class_2
2453,3,1,4,2,7,3,2,1,1,2,4,4,1,8,8,1,3,2,2,2,1,1,class_2
